"","id","timestamp","film_title_en","film_title_romanji","film_title_original","year_released","director","production_studio","production_studio_gps","prefecture","film_location","latitude","longitude","researcher_source","release_date","country_of_production","topographical_targets","animated","budget"
"1","1","","If cats disappeared from the world","sekai kara neko ga kietanara","世界から猫が消えたなら","2016","Akira Nagai","Toho company/ Toho pictures","","Hokkaido","元町公園  (Motomachi park)","41.7655185","140.7095265","JL-DB","14/05/2016","","","No",""
"2","2","","If cats disappeared from the world","sekai kara neko ga kietanara","世界から猫が消えたなら","2016","Akira Nagai","Toho company/ Toho pictures","","Hokkaido","私立函館大学   (Private Hakodate University)","41.7888238","140.8063439","JL-DB","14/05/2016","","","No",""
"3","3","","If cats disappeared from the world","sekai kara neko ga kietanara","世界から猫が消えたなら","2016","Akira Nagai","Toho company/ Toho pictures","","Hokkaido","西埠頭   (Hakodate West Pier)","41.7747502","140.7108568","JL-DB","14/05/2016","","","No",""
"4","4","","If cats disappeared from the world","sekai kara neko ga kietanara","世界から猫が消えたなら","2016","Akira Nagai","Toho company/ Toho pictures","","Hokkaido","路面電車 (Hakodate Tramway)","41.7687933","140.7288103","JL-DB","14/05/2016","","","No",""
"5","5","","If cats disappeared from the world","sekai kara neko ga kietanara","世界から猫が消えたなら","2016","Akira Nagai","Toho company/ Toho pictures","","Hokkaido","函館市地域交流まちづくりセンター (Hakodate Municipal Community Planning Center)","41.7637245","140.716946","JL-DB","14/05/2016","","","No",""
"6","6","","Shiawase Kamon","Shiawase Kamon","しあわせカモン","2009","Nakamura Oya","Alpha core","","Iwate prefecture","えさし藤原の郷　義経屋敷","39.1974459","141.1889988","JL-DB","--","","","No",""
"7","7","","Parasitic beast","kiseijyū","寄生獣 (きせいじゅう)","2014","Takashi Yamazaki","Toho company/ robot/ Office Abe Shuji","","Ibaraki prefecture","茨城県庁 (Ibaraki Prefectural Government Office)","36.3418112","140.4467935","JL-DB","29/11/2014","","","No",""
"8","8","","Goodbye Debussy","sayonara dobyusshī","さよならドビュッシー","2013","Go Riju","Tea and entertainment","","Ibaraki prefecture","茨城県庁 (Ibaraki Prefectural Government Office)","36.3418112","140.4467935","JL-DB","26/01/2013","","","No",""
"9","9","","Equals","Equals","Equals","2015","Drake Doremus","Freedom Media/ Infinite Frameworks Studios/ Route One Entertainment/ Scott Free Productions","","Niigata Prefecture","長岡造形大学 (Nagaoka Institute of Design )","37.4667245","138.8312559","JL-DB/ IMDB","26/05/2016","U.S.A","","No","$16,000,000 "
"10","10","","Equals","Equals","Equals","2015","Drake Doremus","Freedom Media/ Infinite Frameworks Studios/ Route One Entertainment/ Scott Free Productions","","Hyogo Prefecture","淡路夢舞台 (Awaji Yumeatai)","34.559754","135.008104","JL-DB/ IMDB","26/05/2016","U.S.A","","No","$16,000,000 "
"11","11","","Man of the gold medal","kinmedaru otoko","金メダル男","2016"," Teruyoshi Uchimura","Hakuhodo DY Music & Pictures/ Digital Frontier","","Yamansahi Prefecture","緑が丘スポーツ公園 (Midorigaoka Sports Park)","35.6816867","138.5593598","JL-DB","22/10/2016","","","No",""
"12","12","","Blue Swallow","Ao Tsubame","青燕","2005","Yoon Jong-chan","cineline 2","","Nagano Prefecture","塩野神社 (Shiono Shrine) ","35.1866985","137.0499507","JL-DB","29/12/2005","Korea","","No",""
"13","13","","Blue Swallow","Ao Tsubame","青燕","2005","Yoon Jong-chan","cineline 2","","Nagano Prefecture","信州大学繊維学部 講堂 (Shinshu University Faculty of Textile Studies Auditorium )","36.2501","137.979196","JL-DB","29/12/2006","Korea","","No",""
"14","14","","That electric light","Ano dentō","あの電燈","2014","Kiko Tsuruoka","Graduate School of Image Sciences/ Tokyo University of the Arts","","Nagano Prefecture","八木沢駅 (Yagisawa Station)","36.104077","137.693029","JL-DB","8/3/14","","","No",""
"15","15","","That electric light","Ano dentō","あの電燈","2014","Kiko Tsuruoka","Graduate School of Image Sciences/ Tokyo University of the Arts","","Nagano Prefecture","上田映劇 (Ueda eegaki)","24.9403881","121.3347653","JL-DB","8/3/14","","","No",""
"16","16","","Tora's Pure Love","otoko wa tsuraiyo  torajirō junjyōshishū","男はつらいよ　寅次郎純情詩集          とらじろうじゅんじょうししゅう","1976","Yoji Yamada","Shôchiku Eiga","","Nagano Prefecture","北向観音堂とその参道 (Kitamuki kannon temple and its approach)","","","JL-DB","25/12/1976","","","No",""
"17","17","","Good morning","oyō","およう","2002","Ikuo Sekimoto","Shôchiku Eiga","","Nagano Prefecture","旧宣教師館 (Old missionary building)","35.720753","139.720608","JL-DB","11/5/02","","","No",""
"18","18","","Good morning","oyō","およう","2002","Ikuo Sekimoto","Shôchiku Eiga","","Nagano Prefecture","信州大学繊維学部 講堂 (Shinshu University Faculty of Textile Studies Auditorium )","36.2501","137.979196","JL-DB","11/5/02","","","No",""
